"data_attributes_name","data_attributes_latitude","data_attributes_longitude","data_attributes_stop_id"
"Temple Pl @ Washington St",42.355385,-71.062211,"49001"
"Tremont St @ Boylston Station",42.353247,-71.064353,"8279"
"Washington St @ Tufts Med Ctr",42.349908,-71.063684,"49002"
"Washington St @ Herald St",42.346457,-71.064695,"49003"
"Washington St @ E Berkeley St",42.343809,-71.066075,"5098"
"Washington St @ Union Pk",42.340497,-71.071317,"5100"
"Washington St @ W Newton St",42.338788,-71.073825,"19402"
"Washington St @ Worcester St",42.337353,-71.075909,"15176"
"Washington St @ Massachusetts Ave",42.336361,-71.077214,"55"
"Washington St @ Lenox St",42.334963,-71.078951,"60"
"Washington St @ Melnea Cass Blvd",42.332781,-71.081246,"61"
"Dudley Square",42.329544,-71.083982,"place-dudly"
"Washington St @ Melnea Cass Blvd - Silver Line",42.333021,-71.080799,"3"
"Washington St @ Lenox St",42.334949,-71.078873,"4"
"Washington St @ Massachusetts Ave",42.336339,-71.07707,"5"
"Washington St @ Worcester St",42.337524,-71.075479,"1787"
"Washington St @ E Newton St",42.338763,-71.073677,"1788"
"Washington St @ Union Pk",42.341308,-71.069417,"5093"
"Washington St @ E Berkeley St",42.343824,-71.065927,"5095"
"Washington St @ Herald St",42.345582,-71.064848,"15095"
"Washington St @ Tufts Med Ctr",42.34997,-71.063413,"6565"
"Washington St @ Essex St",42.352461,-71.062552,"6567"
