Stop,Delay
Ruggles,0
Tremont St @ Ruggles St,2
Tremont St @ Melnea Cass Blvd,3
Tremont St @ Hammond St,2
Tremont St @ Lenox St,5
Tremont St @ Northhampton St,2
Tremont St @ Springfield St,2
Tremont St @ W Concord St,3
Tremont St @ W Newton St,0
Tremont St @ W Brookline St,0
Tremont St @ W Dedham St,0
Tremont St @ Waltham St,0
Tremont St @ E Berkeley St,3
Tremont St @ Herald St,2
Tremont St @ Marginal St,2
Tremont St @ Park Plaza,4
Tremont St @ Beacon St,5
Charles St S @ Park Plaza,6
Charles St @ Beacon St,3
Beacon St opp Walnut St,6
Beacon St @ Park Street,4
Tremont St opp Temple Pl,2
