Stop,Minute Delay
Ruggles,0
Tremont St @ Ruggles St,0
Tremont St @ Melnea Cass Blvd,0
Tremont St @ Hammond St,0
Tremont St @ Lenox St,1
Tremont St @ Northhampton St,1
Tremont St @ Springfield St,2
Tremont St @ W Concord St,1
Tremont St @ W Newton St,0
Tremont St @ W Brookline St,1
Tremont St @ W Dedham St,0
Tremont St @ Waltham St,0
Tremont St @ E Berkeley St,0
Tremont St @ Herald St,1
Tremont St @ Marginal St,0
Tremont St @ Park Plaza,0
Tremont St @ Beacon St,3
Charles St S @ Park Plaza,3
Charles St @ Beacon St,2
Beacon St opp Walnut St,1
Beacon St @ Park Street,0
Tremont St opp Temple Pl,0
