stopid,name,avMinDelay,avFreqDelay,route
1,Dudley Square,0.16,0.03,1
2,Washington St opp Ruggles St,1.18,0.42,1
3,Washington St @ Melnea Cass Blvd,0.96,0.34,1
4,Melnea Cass Blvd @ Harrison Ave,0.96,0.34,1
5,Albany St opp Randall St,0.81,0.29,1
6,Massachusetts Ave @ Albany St,0.65,0.25,1
7,Massachusetts Ave @ Harrison Ave,1,0.29,1
8,Massachusetts Ave @ Washington St,1.21,0.34,1
9,Massachusetts Ave @ Tremont St,0.86,0.33,1
10,Massachusetts Ave @ Columbus Ave,0.78,0.26,1
11,Massachusetts Ave @ Massachusetts Ave Station,1.33,0.37,1
12,Massachusetts Ave @ St Botolph St,1.39,0.37,1
13,Massachusetts Ave @ Clearway St,1.17,0.29,1
14,Massachusetts Ave @ Newbury St,1.02,0.24,1
15,Massachusetts Ave @ Beacon St,1.46,0.34,1
16,77 Massachusetts Ave,0.93,0.25,1
17,Massachusetts Ave @ Albany St,0.65,0.25,1
18,Massachusetts Ave @ Sidney St,0.84,0.25,1
19,Massachusetts Ave @ Prospect St,1.25,0.3,1
20,Massachusetts Ave @ Bigelow St,1.57,0.37,1
21,Massachusetts Ave @ Hancock St,1.41,0.34,1
22,Massachusetts Ave @ Dana St,1.29,0.3,1
23,Massachusetts Ave @ Trowbridge St,1.28,0.3,1
24,Massachusetts Ave @ Bow St,0.81,0.19,1
25,Massachusetts Ave @ Holyoke St,0.03,0.01,1
26,Massachusetts Ave @ Holyoke St,0.03,0.01,1
27,Massachusetts Ave @ Johnston Gate,0.56,0.18,1
28,Quincy St @ Broadway opp Fogg Museum,0.98,0.5,1
29,Quincy St @ Harvard St,1.06,0.55,1
30,Mt Auburn St @ DeWolfe St,1.47,0.69,1
31,Mt Auburn St @ Putnam Ave,1.4,0.64,1
32,Massachusetts Ave @ Bay St,1.06,0.48,1
33,Massachusetts Ave @ Hancock St,1.41,0.34,1
34,Massachusetts Ave @ Pleasant St,0.77,0.33,1
35,Massachusetts Ave @ Pearl St,1,0.35,1
